rnuv_datetime,rn_url,is_404
2020-09-22T08:37:31Z,https://chem.nlm.nih.gov/chemidplus/rn/1032568-63-0,FALSE
2020-09-25T05:08:46Z,https://chem.nlm.nih.gov/chemidplus/rn/1032754-93-0,FALSE
2020-09-22T09:49:02Z,https://chem.nlm.nih.gov/chemidplus/rn/1032900-25-6,FALSE
2020-09-19T07:18:07Z,https://chem.nlm.nih.gov/chemidplus/rn/103335-41-7,FALSE
2020-09-19T03:59:51Z,https://chem.nlm.nih.gov/chemidplus/rn/1033805-22-9,FALSE
2020-09-19T03:24:07Z,https://chem.nlm.nih.gov/chemidplus/rn/1033805-28-5,FALSE
2020-09-19T04:32:13Z,https://chem.nlm.nih.gov/chemidplus/rn/103577-40-8,FALSE
2020-09-19T11:16:44Z,https://chem.nlm.nih.gov/chemidplus/rn/103577-45-3,FALSE
2020-09-19T03:32:17Z,https://chem.nlm.nih.gov/chemidplus/rn/103639-04-9,FALSE
2020-09-22T23:48:31Z,https://chem.nlm.nih.gov/chemidplus/rn/1036730-42-3,FALSE
2020-09-22T04:58:45Z,https://chem.nlm.nih.gov/chemidplus/rn/10377-58-9,FALSE
2020-09-22T07:17:45Z,https://chem.nlm.nih.gov/chemidplus/rn/103816-16-6,FALSE
2020-09-19T04:55:04Z,https://chem.nlm.nih.gov/chemidplus/rn/1038915-60-4,FALSE
2020-09-22T00:47:57Z,https://chem.nlm.nih.gov/chemidplus/rn/1038915-64-8,FALSE
2020-09-22T00:48:04Z,https://chem.nlm.nih.gov/chemidplus/rn/1038915-73-9,FALSE
2020-09-19T10:28:32Z,https://chem.nlm.nih.gov/chemidplus/rn/104-06-3,FALSE
2020-09-22T12:32:02Z,https://chem.nlm.nih.gov/chemidplus/rn/104-54-1,FALSE
2020-09-19T03:40:18Z,https://chem.nlm.nih.gov/chemidplus/rn/104010-37-9,FALSE
2020-09-19T03:48:12Z,https://chem.nlm.nih.gov/chemidplus/rn/104227-87-4,FALSE
2020-09-19T05:23:40Z,https://chem.nlm.nih.gov/chemidplus/rn/1042385-75-0,FALSE
2020-09-19T03:52:09Z,https://chem.nlm.nih.gov/chemidplus/rn/104239-97-6,FALSE
2020-09-19T03:05:12Z,https://chem.nlm.nih.gov/chemidplus/rn/1044511-01-4,FALSE
2020-09-19T08:32:57Z,https://chem.nlm.nih.gov/chemidplus/rn/104641-95-4,FALSE
2020-09-22T09:53:43Z,https://chem.nlm.nih.gov/chemidplus/rn/1046827-43-3,FALSE
